x,y_h
10.028000,-4.187200,1.028000
14.958000,-4.819600,1.026200
20.011999,-5.430400,1.024000
24.993000,5.634300,1.022300
29.980000,5.921400,1.020900
34.987000,-6.197700,1.019900
39.986000,-6.610100,1.018800
44.979000,6.633000,1.018100
49.999001,6.739500,1.017400
54.983002,6.956200,1.016800
60.005001,7.066400,1.016300
65.024002,7.290400,1.015900
